1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2005;16,692;1,201;15,491;1,456;269;1,187;4,981;433;4,548;2,299;138;2,161;7,707;347;7,360;249;14;235;7,956;361;7,595;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2006;17,199;1,297;15,902;1,621;351;1,270;4,898;409;4,489;2,553;140;2,413;7,872;377;7,495;255;20;235;8,127;397;7,730;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2007;16,517;1,365;15,152;1,569;338;1,231;4,761;481;4,280;2,302;141;2,161;7,662;394;7,268;223;11;212;7,885;405;7,480;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2008;15,697;1,256;14,441;1,661;426;1,235;4,216;351;3,865;2,271;115;2,156;7,338;355;6,983;211;9;202;7,549;364;7,185;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2009;15,375;1,110;14,265;1,562;339;1,223;3,859;284;3,575;2,277;144;2,133;7,416;331;7,085;261;12;249;7,677;343;7,334;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2010;15,781;1,236;14,545;1,567;369;1,198;3,974;347;3,627;2,381;139;2,242;7,604;371;7,233;255;10;245;7,859;381;7,478;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2011;14,282;1,053;13,229;620;152;468;3,767;313;3,454;2,262;129;2,133;7,388;446;6,942;245;13;232;7,633;459;7,174;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2012;14,082;955;13,127;580;119;461;3,528;294;3,234;2,246;122;2,124;7,482;412;7,070;246;8;238;7,728;420;7,308;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB ;2013;13,202;857;12,345;578;99;479;3,372;259;3,113;1,910;102;1,808;7,100;381;6,719;242;16;226;7,342;397;6,945;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB;2014;12,742;858;11,884;462;89;373;3,163;234;2,929;1,855;116;1,739;6,973;392;6,581;289;27;262;7,262;419;6,843;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB;2015;12,627;836;11,791;417;95;322;3,170;248;2,922;1,823;111;1,712;6,919;370;6,549;298;12;286;7,217;382;6,835;
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB;2016;14,905;1,047;13,858;494;101;393;3,763;333;3,430;2,323;141;2,182;7,999;453;7,546;326;19;307;8,325;472;7,853;
